,Date,Region,Sales Rep,Customer,Product,COGS,Sales
0,6/7/2006,MidWest,Jon,Nature Company,QDA Item,5395.13,9809.32
1,5/18/2006,MidWest,Chin,The Economist,PGQ Item,8649.28,9250.57
2,5/6/2006,MidWest,Luke,McLendon's Hardware,WAJ Item,3172.06,8573.14
3,4/25/2006,MidWest,Rhonda,ExcelIsVeryFun.com,WSQ Item,8333.41,8912.74
4,4/3/2006,MidWest,Luke,Costco,SLL Item,8792.47,9991.44
5,3/24/2006,MidWest,Sheliadawn,Whole Foods,JGD Item,5628.87,8277.75
6,3/21/2006,MidWest,Jeri,Peet's Coffee,JOG Item,4823.69,8770.34
7,3/19/2006,MidWest,Troung,The Economist,KFB Item,4976.28,8434.37
8,3/12/2006,MidWest,Chin,Google,DXU Item,3445.13,9311.16
9,3/1/2006,MidWest,Luke,Whole Foods,YNQ Item,3185.71,8610.02
10,2/28/2006,MidWest,Rhonda,McLendon's Hardware,NEN Item,8702.34,9889.02
11,2/6/2006,MidWest,Sheliadawn,Sherman Williams,TEY Item,4349.05,9664.55
12,2/4/2006,MidWest,Jon,Nature Company,BVN Item,4114.41,9568.39
13,1/18/2006,MidWest,Chin,Nature Company,JQL Item,3651.71,8492.35
14,1/6/2006,MidWest,Rhonda,Amazon.com,ADY Item,8498.82,9089.65
15,1/5/2006,MidWest,Jeri,Sherman Williams,YWG Item,5672.01,9613.58
16,12/22/2005,MidWest,Luke,McLendon's Hardware,TGY Item,4847.26,8215.7
17,12/18/2005,MidWest,Chin,Office Depot,GCU Item,4920.12,8482.97
18,12/9/2005,MidWest,Rhonda,Costco,XYL Item,6619.09,9733.95
19,11/25/2005,MidWest,Jeri,McLendon's Hardware,PHE Item,4280.79,9955.32
20,11/24/2005,MidWest,Jon,Home Depot,TQM Item,8476.72,9632.64
21,11/5/2005,MidWest,Chin,Google,FTH Item,7261.47,8251.67
22,10/4/2005,MidWest,Jon,Amazon.com,ULS Item,3640.32,9838.69
23,10/3/2005,MidWest,Troung,McLendon's Hardware,EVO Item,9189.78,9828.64
24,10/2/2005,MidWest,Chin,Home Depot,KNW Item,4428.51,8051.84
25,9/23/2005,MidWest,Sheliadawn,Google,NWF Item,4440.52,8073.67
26,9/22/2005,MidWest,Luke,Solar and Wind Inc.,GWW Item,7160.5,8136.93
27,8/8/2005,MidWest,Luke,ExcelIsVeryFun.com,BDX Item,5623.76,9531.8
28,7/22/2005,MidWest,Jon,Sherman Williams,GVW Item,3982.41,9261.43
29,7/21/2005,MidWest,Luke,Peet's Coffee,CYD Item,7044.34,9392.45
30,7/13/2005,MidWest,Troung,Peet's Coffee,KZK Item,6877.98,9170.64
31,7/12/2005,MidWest,Troung,Yahoo,JUR Item,3653.87,9875.32
32,7/10/2005,MidWest,Rhonda,Office Depot,FPF Item,3381.07,9138.04
33,7/1/2005,MidWest,Troung,Yahoo,STL Item,7429.13,8442.19
34,6/18/2005,MidWest,Sheliadawn,Yahoo,MDV Item,4302.01,9560.02
35,6/9/2005,MidWest,Steven,Home Depot,YKF Item,5771.0,9950.0
36,6/3/2005,MidWest,Steven,ExcelIsVeryFun.com,DWQ Item,4050.46,9419.67
37,6/3/2005,MidWest,Luke,Solar and Wind Inc.,UOE Item,6306.47,8408.63
38,5/22/2005,MidWest,Rhonda,Amazon.com,GFK Item,6011.22,8840.03
39,5/4/2005,MidWest,Luke,Sherman Williams,SZM Item,6407.71,9423.11
40,4/20/2005,MidWest,Sheliadawn,Costco,TBQ Item,3970.29,9233.24
41,3/28/2005,MidWest,Jon,Home Depot,MSH Item,5369.48,9762.69
42,3/10/2005,MidWest,Chin,Costco,OOD Item,6587.55,8783.4
43,2/22/2005,MidWest,Troung,Office Depot,BQW Item,7872.32,8945.82
44,1/29/2005,MidWest,Steven,Home Depot,SXT Item,7371.44,9828.59
45,1/21/2005,MidWest,Luke,Whole Foods,NSN Item,8615.62,9790.48
46,1/20/2005,MidWest,Sheliadawn,Peet's Coffee,FKF Item,3166.77,8558.84
47,1/13/2005,MidWest,Troung,The Economist,KHM Item,5046.58,8553.53
48,1/12/2005,MidWest,Jon,Solar and Wind Inc.,UDH Item,6619.97,9735.25
49,1/4/2005,MidWest,Jon,Home Depot,BKL Item,3442.17,8005.05
50,12/27/2004,MidWest,Luke,Solar and Wind Inc.,ZFB Item,3396.25,9179.05
51,12/25/2004,MidWest,Jon,Yahoo,FLS Item,3664.68,8143.73
